persistence_score,detection_count,average_frp,average_confidence,industrial_distance_km,nearby_industrial_facility_count,label
8.1,6,350.6,100.0,40.93,1,Wildfire
45.1,2,147.9,91.9,6.23,3,Other
32.3,1,28.0,86.1,10.34,0,Agricultural
24.8,1,42.3,71.1,4.68,1,Agricultural
72.0,22,19.9,82.5,1.03,5,Industrial
82.3,14,60.3,77.0,8.65,4,Industrial
83.4,23,53.1,100.0,0.1,6,Industrial
18.2,8,142.5,68.7,13.54,1,Other
23.4,4,49.1,80.8,5.97,0,Agricultural
41.5,2,37.5,54.2,12.19,0,Agricultural
82.7,32,58.9,81.4,1.65,3,Industrial
8.6,2,13.7,59.1,29.15,2,Other
34.2,3,63.2,79.5,13.4,1,Other
96.6,4,83.9,87.1,2.16,6,Industrial
84.0,28,15.8,71.5,0.23,5,Industrial
92.4,8,61.0,100.0,2.66,1,Industrial
30.8,5,278.6,100.0,35.14,0,Wildfire
37.6,4,35.8,34.5,12.22,0,Agricultural
23.0,3,87.5,80.8,11.48,0,Wildfire
28.6,1,366.5,87.0,25.95,0,Wildfire
42.7,1,31.8,100.0,14.23,0,Agricultural
81.5,27,53.6,81.7,1.03,7,Industrial
9.1,4,194.0,96.2,26.78,0,Wildfire
0.0,7,249.5,100.0,35.62,0,Wildfire
18.9,1,234.4,92.1,27.72,1,Wildfire
69.7,3,139.4,98.6,47.21,2,Other
72.2,34,39.7,86.0,0.39,2,Industrial
33.1,5,16.6,67.2,11.48,0,Agricultural
30.2,5,43.0,74.2,4.2,0,Agricultural
90.9,25,71.3,79.8,0.98,8,Industrial
61.1,1,16.2,54.9,8.86,0,Agricultural
65.7,12,28.6,91.8,4.49,7,Industrial
86.7,29,55.8,100.0,0.39,3,Industrial
35.0,1,145.7,94.2,46.39,1,Other
39.6,7,107.4,57.7,40.79,0,Other
22.4,5,93.0,79.0,4.57,1,Other
28.2,8,132.0,91.0,7.51,0,Wildfire
72.4,24,85.9,79.8,2.86,7,Industrial
43.4,3,34.6,84.0,18.37,2,Agricultural
36.0,8,310.6,96.5,23.33,0,Wildfire
86.5,18,59.9,89.2,1.06,0,Industrial
26.0,7,80.8,90.2,25.9,0,Wildfire
91.5,46,43.8,87.2,2.15,8,Industrial
30.1,7,19.4,79.1,17.29,1,Other
25.5,3,189.5,69.6,32.32,0,Wildfire
56.2,1,1.0,76.6,10.98,1,Agricultural
23.7,3,97.6,98.7,31.5,0,Wildfire
38.5,1,54.9,83.5,13.35,0,Agricultural
21.2,5,28.8,86.8,17.74,2,Agricultural
89.6,15,56.5,97.5,0.99,3,Industrial
20.1,5,19.0,79.1,13.45,1,Other
45.5,1,20.1,69.6,24.0,1,Other
69.5,8,119.2,52.0,24.03,0,Other
24.2,9,29.9,74.9,30.91,2,Other
47.4,3,1.0,66.3,9.54,0,Agricultural
7.9,4,28.6,78.4,34.47,1,Other
99.0,34,51.2,78.5,1.85,7,Industrial
83.0,38,58.0,100.0,1.97,1,Industrial
78.5,20,43.6,89.2,5.59,6,Industrial
20.6,5,249.1,79.8,22.43,0,Wildfire
0.0,7,269.9,71.4,15.98,0,Wildfire
23.4,8,334.7,85.4,35.79,0,Wildfire
42.2,3,92.9,95.6,10.53,2,Other
19.4,6,145.2,93.2,22.09,0,Wildfire
28.2,3,261.7,61.5,36.49,0,Wildfire
13.9,3,28.7,82.1,5.03,0,Agricultural
80.3,28,49.1,89.8,0.4,2,Industrial
33.7,8,70.3,62.4,30.86,1,Other
93.5,37,74.3,84.1,2.46,4,Industrial
5.7,5,141.1,52.0,6.11,2,Other
50.7,1,30.8,99.3,48.26,0,Other
